Experiment ID;Meeting;Suiker Concentratie (g/ml);Gist (g);Temperatuur (°C);CO₂ (ml)
S1;1;100;2;21;3
S2;1;150;2;21;5
S3;1;200;2;21;6
Sd1;1;100;2;21;3,5
Sd2;1;150;2;21;5,5
Sd3;1;200;2;21;6,5
S1;2;100;2;21;4
S2;2;150;2;21;7
S3;2;200;2;21;9
Sd1;2;100;2;21;4,5
Sd2;2;150;2;21;7,5
Sd3;2;200;2;21;9,5
S1;3;100;2;21;8
S2;3;150;2;21;10
S3;3;200;2;21;11
Sd1;3;100;2;21;8,5
Sd2;3;150;2;21;10,5
Sd3;3;200;2;21;11,5
S1;4;100;2;21;8
S2;4;150;2;21;10
S3;4;200;2;21;11
Sd1;4;100;2;21;8,5
Sd2;4;150;2;21;10,5
Sd3;4;200;2;21;11,5
S1;5;100;2;21;7
S2;5;150;2;21;9
S3;5;200;2;21;11
Sd1;5;100;2;21;7,5
Sd2;5;150;2;21;9,5
Sd3;5;200;2;21;11,5
S1;6;100;2;21;6
S2;6;150;2;21;8
S3;6;200;2;21;10
Sd1;6;100;2;21;6,5
Sd2;6;150;2;21;8,5
Sd3;6;200;2;21;10,5
S1;7;100;2;21;5
S2;7;150;2;21;6
S3;7;200;2;21;7
Sd1;7;100;2;21;5,5
Sd2;7;150;2;21;6,5
Sd3;7;200;2;21;7,5
