Experiment Id;Meeting;Zout Concentratie(g/ml);Gist (g);Temperatuur (°C);CO₂ (ml);meting
Z1;1;1;2;21;4,5;1
Z2;1;2;2;21;7,5;1
Z3;1;4;2;21;9;1
Zd1;1;1;2;21;5,25;1
Zd2;1;2;2;21;8,25;1
Zd3;1;4;2;21;9,75;1
Z1;2;1;2;21;6;2
Z2;2;2;2;21;10,5;2
Z3;2;4;2;21;13,5;2
Zd1;2;1;2;21;6,75;2
Zd2;2;2;2;21;11,25;2
Zd3;2;4;2;21;14,25;2
Z1;3;1;2;21;12;3
Z2;3;2;2;21;15;3
Z3;3;4;2;21;16,5;3
Zd1;3;1;2;21;8,5;3
Zd2;3;2;2;21;15,75;3
Zd3;3;4;2;21;17,25;3
Z1;4;1;2;21;18;4
Z2;4;2;2;21;15;4
Z3;4;4;2;21;16,5;4
Zd1;4;1;2;21;12,75;4
Zd2;4;2;2;21;15,75;4
Zd3;4;4;2;21;17,25;4
Z1;5;1;2;21;3,5;5
Z2;5;2;2;21;4,5;5
Z3;5;4;2;21;5,5;5
Zd1;5;1;2;21;3,75;5
Zd2;5;2;2;21;4,75;5
Zd3;5;4;2;21;5,75;5
Z1;6;1;2;21;3;6
Z2;6;2;2;21;4;6
Z3;6;4;2;21;5;6
Zd1;6;1;2;21;3,25;6
Zd2;6;2;2;21;4,25;6
Zd3;6;4;2;21;5,25;6
Z1;7;1;2;21;2,5;7
Z2;7;2;2;21;3;7
Z3;7;4;2;21;3,5;7
Zd1;7;1;2;21;2,75;7
Zd2;7;2;2;21;3,25;7
Zd3;7;4;2;21;3,75;7
